Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,437.804016,458.272278,435.059296,452.892456,452.892456,26127600
2013-05-20,450.810242,458.581116,433.878723,435.029388,435.029388,22861200
2013-05-27,440.100403,444.404266,430.531250,433.983337,433.983337,16784400
2013-06-03,434.869995,438.356934,422.028137,438.222443,438.222443,23496900
2013-06-10,439.403015,443.836395,431.134003,435.886200,435.886200,21309300
2013-06-17,437.973358,453.719360,434.904877,438.820190,438.820190,29275600
2013-06-24,434.312103,440.693176,430.013214,438.541229,438.541229,23441600
2013-07-01,441.569885,446.033173,436.997040,445.076752,445.076752,12777600
2013-07-08,447.926056,459.776642,446.865051,459.776642,459.776642,21700000
2013-07-15,460.424225,462.267303,436.170135,446.625946,446.625946,33009500
2013-07-22,449.315857,454.795319,439.353210,441.021942,441.021942,23700400
2013-07-29,440.797791,451.806519,438.790314,451.592316,451.592316,19418600
2013-08-05,451.004517,453.156464,440.992065,443.542480,443.542480,14065300
2013-08-12,441.794037,442.591064,426.670746,426.855042,426.855042,16909300
2013-08-19,427.253540,437.360657,427.124023,433.480225,433.480225,13546500
2013-08-26,433.375610,435.816467,421.201233,421.868744,421.868744,14968700
2013-09-02,425.584808,440.239868,425.380554,438.147705,438.147705,13934900
2013-09-09,440.214966,447.273499,439.562408,442.875000,442.875000,13155900
2013-09-16,446.426697,451.303406,438.855072,449.868774,449.868774,21025500
2013-09-23,446.401764,449.111633,434.028168,436.558685,436.558685,14919000
2013-09-30,432.917328,445.380615,432.533752,434.546204,434.546204,16817300
2013-10-07,432.105377,435.363159,419.916046,434.366882,434.366882,19176700
2013-10-14,431.711853,505.834015,431.079224,503.816559,503.816559,41486600
2013-10-21,503.841492,518.342102,496.035736,505.704498,505.704498,25339500
2013-10-28,505.704498,518.815369,504.603607,511.602386,511.602386,14074300
2013-11-04,513.824036,514.257446,501.938599,506.117950,506.117950,12452900
2013-11-11,502.870117,517.933655,500.623535,514.850220,514.850220,12753400
2013-11-18,515.941101,522.411865,508.274872,514.018311,514.018311,12448000
2013-11-25,516.643494,532.005920,515.577515,527.816589,527.816589,12477500
2013-12-02,529.769287,533.002197,522.551331,532.937439,532.937439,13657300
2013-12-09,533.495300,544.115540,526.969788,528.414368,528.414368,17679900
2013-12-16,530.013367,548.528992,527.542664,548.255005,548.255005,20627300
2013-12-23,551.851501,558.048279,550.496582,557.111816,557.111816,10766400
2013-12-30,558.078186,558.406982,550.401978,550.436829,550.436829,12209400
2014-01-06,554.426880,571.517822,551.154114,562.979797,562.979797,21665200
2014-01-13,561.131714,578.147949,556.499084,573.116821,573.116821,22557600
2014-01-20,578.297424,581.764404,559.403198,559.816650,559.816650,18855700
2014-01-27,560.947449,591.054565,539.114258,588.279968,588.279968,39349200
2014-02-03,587.398315,588.653564,561.903870,586.521545,586.521545,28823600
2014-02-10,583.712097,599.946228,582.327271,599.154236,599.154236,19559600
2014-02-17,598.461792,604.170410,596.514099,599.647400,599.647400,15609200
2014-02-24,600.429443,612.145508,600.299927,605.555237,605.555237,17402200
2014-03-03,601.121826,611.204041,593.844116,605.126831,605.126831,15238400
2014-03-10,605.575134,606.546509,584.075745,584.210266,584.210266,19133700
2014-03-17,587.423218,603.732056,586.855347,589.311096,589.311096,21044500
2014-03-24,589.883972,590.237671,551.406128,558.456787,558.456787,16168700
2014-03-31,565.337891,603.174011,541.513306,541.652893,541.652893,11634200
2014-04-07,539.259460,563.822021,525.088379,529.147217,529.147217,18845200
2014-04-14,536.776306,555.474915,517.040466,534.632141,534.632141,18132700
2014-04-21,534.632141,535.759094,514.008789,514.766724,514.766724,10967700
2014-04-28,515.763977,532.537903,501.423340,526.484558,526.484558,11379600
2014-05-05,523.383057,527.451904,501.921967,517.309753,517.309753,10398100
2014-05-12,522.076660,534.602234,514.028748,519.204529,519.204529,7947100
2014-05-19,518.277100,552.124146,516.165894,551.186707,551.186707,7806500
2014-05-26,554.477661,566.285278,552.832214,558.357056,558.357056,6881300
2014-06-02,559.164795,559.364258,537.274902,554.806763,554.806763,8543800
2014-06-09,555.624512,562.056885,544.066284,550.249268,550.249268,6598200
2014-06-16,547.756165,556.053345,537.853333,554.836670,554.836670,11853800
2014-06-23,553.630005,580.855286,552.732483,575.659546,575.659546,9692000
2014-06-30,577.075623,583.837097,573.176331,583.129028,583.129028,4532000
2014-07-07,582.161682,584.824341,563.463013,577.594238,577.594238,7069200
2014-07-14,581.004822,595.165955,567.053162,593.450684,593.450684,11904700
2014-07-21,590.129822,598.008179,583.630615,587.407288,587.407288,6961800
2014-07-28,586.459900,590.877747,561.308899,564.520081,564.520081,7410900
2014-08-04,567.481995,573.774719,558.466736,567.212708,567.212708,6918400
2014-08-11,568.429382,577.793640,559.344299,571.909851,571.909851,6700400
2014-08-18,574.532593,585.731873,574.422913,580.964966,580.964966,5003200
2014-08-25,583.119019,583.398254,565.516357,570.034973,570.034973,7080900
2014-09-01,570.284302,584.944031,569.626099,584.475342,584.475342,5883900
2014-09-08,584.993896,590.149719,572.887146,574.043945,574.043945,6518100
2014-09-15,571.371277,594.846863,566.654236,594.447937,594.447937,9951700
2014-09-22,592.194153,592.322754,572.607910,575.519897,575.519897,8258500
2014-09-29,570.184570,578.262390,561.777649,573.704895,573.704895,6669600
2014-10-06,577.215271,579.409241,542.560425,542.999207,542.999207,10723400
2014-10-13,543.497803,547.995483,507.137665,509.770416,509.770416,17771200
2014-10-20,508.055145,545.721741,506.708832,538.302063,538.302063,12184800
2014-10-27,535.559631,558.037903,535.559631,557.549255,557.549255,7717300
2014-11-03,553.979065,556.372498,537.195129,539.528748,539.528748,7625500
2014-11-10,539.977478,550.428772,539.538696,542.909424,542.909424,5858500
2014-11-17,542.091675,542.301086,528.628662,536.028320,536.028320,8868300
2014-11-24,536.177917,542.490601,534.153503,540.346497,540.346497,6167400
2014-12-01,537.424500,539.927612,522.844543,523.821838,523.821838,8877500
2014-12-08,525.686707,534.861511,517.239929,517.239929,517.239929,9518100
2014-12-15,521.308777,521.667786,487.661133,514.936218,514.936218,16277600
2014-12-22,514.666992,533.096375,514.666992,532.567810,532.567810,6667700
2014-12-29,530.732849,534.013855,522.665039,523.373108,523.373108,5970400
2015-01-05,521.827332,522.894409,489.655640,494.811493,494.811493,12449500
2015-01-12,493.584869,506.798584,486.225067,506.688873,506.688873,11926600
2015-01-19,509.600891,540.685547,504.630524,538.471619,538.471619,9459300
2015-01-26,537.055542,538.391846,499.827728,533.056519,533.056519,14924100
2015-02-02,530.274109,535.729126,517.130249,529.546143,529.546143,10165200
2015-02-09,526.554321,548.404358,524.579773,547.506836,547.506836,7915700
2015-02-16,545.332764,548.494080,534.333008,537.474365,537.474365,5503200
2015-02-23,534.582275,563.163818,526.803650,556.871094,556.871094,9010300
2015-03-02,558.995300,576.327698,557.220154,566.130676,566.130676,8759800
2015-03-09,565.307922,568.708618,542.729919,545.821472,545.821472,7768200
2015-03-16,549.441528,560.182007,544.505066,558.825745,558.825745,9394900
2015-03-23,558.895569,573.016785,546.629211,546.838684,546.838684,9849200
2015-03-30,550.109680,553.191223,532.385315,534.063721,534.063721,6554800
2015-04-06,530.762817,542.360962,528.120056,538.531433,538.531433,6772900
2015-04-13,536.935852,542.570374,519.583496,522.615173,522.615173,10019800
2015-04-20,524.160889,569.576233,523.063904,563.512878,563.512878,14234700
2015-04-27,563.390015,565.950012,532.099976,537.900024,537.900024,9438200
2015-05-04,538.530029,544.070007,521.085022,538.219971,538.219971,7332000
2015-05-11,538.369995,541.979980,525.260010,533.849976,533.849976,7167000
2015-05-18,532.010010,544.190002,528.849976,540.109985,540.109985,8040000
2015-05-25,538.119995,540.609985,529.880005,532.109985,532.109985,7558700
2015-06-01,536.789978,543.500000,529.760010,533.330017,533.330017,8294300
2015-06-08,533.309998,538.979980,523.010010,532.330017,532.330017,6964200
2015-06-15,528.000000,538.250000,524.000000,536.690002,536.690002,7725300
2015-06-22,539.590027,543.739990,531.349976,531.690002,531.690002,7179200
2015-06-29,525.010010,528.609985,518.229980,523.400024,523.400024,7351900
2015-07-06,519.500000,532.559998,515.179993,530.130005,530.130005,7970500
2015-07-13,532.880005,674.468018,532.400024,672.929993,672.929993,23168400
2015-07-20,659.239990,678.640015,622.520020,623.559998,623.559998,19822200
2015-07-27,621.000000,635.219971,620.500000,625.609985,625.609985,9158100
2015-08-03,625.340027,647.859985,625.340027,635.299988,635.299988,8106200
2015-08-10,639.479980,674.900024,631.249023,657.119995,657.119995,12657900
2015-08-17,656.799988,667.000000,612.330017,612.479980,612.479980,11759900
2015-08-24,573.000000,643.590027,565.049988,630.380005,630.380005,19014200
2015-08-31,627.539978,635.799988,594.099976,600.700012,600.700012,12303000
2015-09-07,612.489990,626.520020,604.119995,625.770020,625.770020,7260400
2015-09-14,625.700012,650.900024,619.429993,629.250000,629.250000,12481300
2015-09-21,634.400024,636.489990,611.000000,611.969971,611.969971,10236400
2015-09-28,610.340027,627.340027,589.380005,626.909973,626.909973,12403000
2015-10-05,632.000000,650.609009,625.559998,643.609985,643.609985,9893400
2015-10-12,642.090027,664.969971,639.010010,662.200012,662.200012,7995200
2015-10-19,661.179993,730.000000,641.729980,702.000000,702.000000,16483300
2015-10-26,701.549988,719.150024,701.260010,710.809998,710.809998,10506100
2015-11-02,711.059998,739.479980,705.849976,733.760010,733.760010,8531600
2015-11-09,730.200012,741.000000,716.729980,717.000000,717.000000,8956900
2015-11-16,715.599976,757.919983,711.330017,756.599976,756.599976,8640500
2015-11-23,757.450012,762.708008,737.630005,750.260010,750.260010,5708200
2015-11-30,748.809998,775.955017,741.270020,766.809998,766.809998,11810500
2015-12-07,767.770020,768.729980,736.750000,738.869995,738.869995,10551100
2015-12-14,741.789978,762.679993,724.169983,739.309998,739.309998,11774100
2015-12-21,746.130005,754.849976,740.000000,748.400024,748.400024,4984200
2015-12-28,752.919983,779.979980,749.520020,758.880005,758.880005,6063200
2016-01-04,743.000000,752.000000,713.000000,714.469971,714.469971,12585100
2016-01-11,716.609985,734.739990,685.369995,694.450012,694.450012,12435000
2016-01-18,703.299988,728.130005,673.260010,725.250000,725.250000,10137100
2016-01-25,723.580017,744.989990,694.390015,742.950012,742.950012,11388300
2016-02-01,750.460022,789.869995,680.150024,683.570007,683.570007,27932700
2016-02-08,667.849976,701.309998,663.059998,682.400024,682.400024,15659700
2016-02-15,692.979980,712.349976,685.049988,700.909973,700.909973,8485100
2016-02-22,707.450012,713.429993,680.780029,705.070007,705.070007,9808400
2016-02-29,700.320007,720.000000,697.679993,710.890015,710.890015,10191600
2016-03-07,706.900024,726.919983,685.340027,726.820007,726.820007,11287200
2016-03-14,726.809998,743.070007,724.510010,737.599976,737.599976,9905200
2016-03-21,736.500000,745.719971,731.000000,735.299988,735.299988,6133200
2016-03-28,736.789978,757.880005,728.760010,749.909973,749.909973,8283000
2016-04-04,750.059998,752.799988,735.369995,739.150024,739.150024,6064200
2016-04-11,743.020020,761.000000,731.010010,759.000000,759.000000,7224800
2016-04-18,760.460022,769.900024,713.609985,718.770020,718.770020,14128100
2016-04-25,716.099976,725.765991,689.000000,693.010010,693.010010,13157400
2016-05-02,697.630005,711.859985,689.010010,711.119995,711.119995,8392200
2016-05-09,712.000000,724.479980,709.000000,710.830017,710.830017,7447200
2016-05-16,709.130005,721.520020,696.799988,709.739990,709.739990,8583700
2016-05-23,706.530029,733.935974,704.179993,732.659973,732.659973,8439700
2016-05-30,731.739990,739.729980,720.559998,722.340027,722.340027,5951200
2016-06-06,724.909973,729.539978,714.609985,719.409973,719.409973,6690500
2016-06-13,716.510010,725.440002,688.452026,691.719971,691.719971,9164400
