Date,Open,High,Low,Close,AdjClose,Volume
2004-08-23,55.168217,56.528118,51.591621,52.876804,52.876804,56264400
2004-08-30,52.443428,52.548038,49.285267,49.818268,49.818268,39711400
2004-09-06,50.316402,53.081039,49.619015,52.468334,52.468334,23705500
2004-09-13,53.115910,58.525631,53.031227,58.525631,58.525631,48353100
2004-09-20,58.256641,61.818291,58.166977,59.691261,59.691261,43302100
2004-09-27,59.556767,67.257904,58.680054,66.042458,66.042458,83790400
2004-10-04,67.372475,69.678825,65.873093,68.607841,68.607841,66877800
2004-10-11,68.244202,72.478333,66.450928,71.785927,71.785927,65851700
2004-10-18,71.332626,89.748604,69.539352,85.893051,85.893051,158477900
2004-10-25,87.870636,99.601669,85.952827,94.964050,94.964050,209656800
2004-11-01,96.413620,100.423584,83.960297,84.358803,84.358803,143942200
2004-11-08,85.145851,94.545616,82.326424,90.660187,90.660187,129747200
2004-11-15,89.888077,93.808380,82.555565,84.383713,84.383713,153273400
2004-11-22,81.927917,89.678864,80.353813,89.360054,89.360054,93433700
2004-11-29,89.843246,91.158318,88.423569,89.863174,89.863174,77008800
2004-12-06,89.230545,90.012611,83.920448,85.504509,85.504509,65520000
2004-12-13,85.763535,90.007629,84.408615,89.703766,89.703766,86998300
2004-12-20,90.660187,93.947861,90.595428,93.599167,93.599167,45915900
2004-12-27,94.221832,99.566803,94.196930,96.035034,96.035034,53199800
2005-01-03,98.331429,101.439781,93.509506,96.563057,96.563057,116206800
2005-01-10,96.886841,99.631554,94.894310,99.611633,99.611633,78624600
2005-01-17,100.109764,102.266678,93.708755,93.788460,93.788460,85700300
2005-01-24,93.992691,96.986473,87.815842,94.814613,94.814613,112068900
2005-01-31,96.483360,107.995209,94.959068,101.798431,101.798431,178751600
2005-02-07,102.246758,102.814629,92.279114,93.350098,93.350098,147973200
2005-02-14,91.083595,99.546875,90.162048,98.605400,98.605400,200302700
2005-02-21,97.883110,99.078629,90.774757,92.587959,92.587959,130200800
2005-02-28,92.652718,94.580490,90.660187,92.602905,92.602905,77886000
2005-03-07,93.539391,94.570526,88.244240,88.568024,88.568024,94477800
2005-03-14,88.832039,89.863174,85.962791,89.683846,89.683846,88380700
2005-03-21,89.300278,90.744865,88.294052,89.290321,89.290321,43493200
2005-03-28,90.500778,92.054955,88.488327,89.683846,89.683846,69052700
2005-04-04,89.639008,97.185722,89.584213,95.666420,95.666420,74024900
